User_ID,Session_ID,Product_ID,Category_Name,Brand_ID,Event_Type,Timestamp,Device_Type,Traffic_Source,User_Region,User_Age_Group,Membership_Type,Session_Duration_sec,Time_Spent_On_Product_sec,Time_Since_Last_Event_sec,Event_Sequence_Order,Product_Price,Discount_Percent,Product_Rating,Review_Count,Stock_Status,Delivery_Option,Previous_Views,Previous_Cart_Additions,Previous_Purchases,Category_View_Count,Brand_Interaction_Count,Wishlist_Count,Cart_Abandonment_Rate,Purchase_Frequency,Average_Order_Value,Customer_Loyalty_Score,Click_Rate,Page_Scroll_Depth_Percent,Repeat_Visit_Count,Search_Frequency,Offer_Interaction_Count,Recommendation_Action
13445,61671,25150,Footwear,3403,Search_Click,2024-07-26 06:06:36,Desktop,Direct,West,25-34,Silver,3268,243,1729,46,90214.63,52.66,1.17,7931,In_Stock,Standard,82,23,31,42,3,17,0.399,0.014,11777.84,61.08,0.733,17.12,31,27,7,Add_to_Cart
13172,61637,25312,Books,3505,Purchase,2024-11-19 22:31:53,Mobile,Search_Engine,East,35-44,Silver,239,601,1312,25,83741.11,30.85,3.59,7303,In_Stock,Express,51,24,14,54,5,25,0.465,0.636,12794.98,72.21,0.884,89.59,25,27,10,Add_to_Cart
12920,54693,22485,Sports,3720,Product_View,2024-07-01 20:10:15,Mobile,Search_Engine,South,18-24,Premium,1244,807,925,32,7539.58,37.4,2.43,8270,In_Stock,Express,48,9,5,4,19,27,0.428,0.105,6090.97,95.93,0.298,6.28,32,33,4,Ignore
10131,54420,20616,Books,3654,Cart_Add,2024-02-09 20:54:04,Mobile,Email,East,18-24,Regular,4684,866,1541,52,18583.42,27.48,4.38,14145,In_Stock,Standard,48,12,24,15,27,7,0.675,0.84,36223.2,62.52,0.702,54.77,26,25,15,Add_to_Cart
11686,57961,23206,Footwear,3022,Product_View,2024-10-29 10:43:58,Desktop,Social_Media,West,25-34,Regular,2779,172,1289,46,68106.52,10.77,1.09,14305,In_Stock,Standard,62,15,27,24,42,23,0.327,0.673,36482.51,90.3,0.846,17.48,30,27,8,Purchase
10770,56079,22850,Toys,3017,Product_View,2024-02-04 14:47:25,Mobile,Direct,East,18-24,Regular,3672,802,23,15,25646.69,9.82,2.63,9424,In_Stock,Standard,50,14,13,29,1,25,0.459,0.606,28890.3,9.81,0.192,19.63,26,32,0,View
12392,61232,24408,Toys,3634,Wishlist_Add,2024-10-11 14:06:16,Mobile,Search_Engine,North,18-24,Silver,3157,478,1515,17,64456.42,12.74,1.42,5368,In_Stock,Standard,88,18,11,60,33,15,0.741,0.935,50499.79,83.67,0.513,73.6,37,25,10,Add_to_Cart
15612,51438,23808,Footwear,3282,Cart_Add,2024-12-22 07:40:00,Desktop,Email,West,55+,Regular,2311,308,655,52,26433.44,47.91,4.0,1330,In_Stock,Standard,82,11,24,44,11,6,0.244,0.849,48810.52,59.18,0.317,97.17,8,30,13,Add_to_Cart
12434,58621,22073,Footwear,3227,Product_View,2024-01-03 00:15:27,Mobile,Advertisement,West,18-24,Regular,3887,227,440,40,22437.9,21.45,3.99,7677,In_Stock,Express,58,3,16,55,19,17,0.753,0.125,28503.47,69.33,0.828,14.9,8,31,11,View
15312,60875,20525,Grocery,3420,Product_View,2024-07-07 10:57:23,Mobile,Direct,North,25-34,Gold,5295,550,954,58,12392.02,46.39,3.5,10405,In_Stock,Standard,41,11,8,14,3,15,0.504,0.784,24817.02,74.28,0.602,73.04,18,1,15,View
15052,60970,23174,Books,3373,Search_Click,2024-04-09 01:35:09,Mobile,Direct,South,35-44,Regular,2769,819,823,39,15127.71,16.13,2.54,13659,In_Stock,Express,80,8,8,45,24,16,0.845,0.756,49324.99,42.84,0.074,99.78,31,16,13,View
11185,57033,21474,Furniture,3301,Cart_Add,2024-11-01 16:12:07,Desktop,Search_Engine,East,25-34,Regular,4629,29,1006,49,81491.63,55.0,4.35,4652,Limited_Stock,Express,82,19,25,48,44,12,0.137,0.763,36667.99,32.95,0.282,70.35,20,3,1,Add_to_Cart
14556,55732,22426,Fashion,3286,Cart_Add,2024-08-11 11:41:00,Mobile,Direct,North,25-34,Silver,2716,78,724,23,86417.28,18.51,2.34,2909,Limited_Stock,Express,7,24,26,2,35,9,0.084,0.549,44788.93,19.63,0.854,93.13,7,26,11,Add_to_Cart
13386,53379,24984,Furniture,3116,Product_View,2024-02-16 17:09:16,Mobile,Social_Media,East,25-34,Silver,3659,577,1073,16,64949.27,66.22,3.68,8418,In_Stock,Standard,17,5,12,37,24,7,0.982,0.055,15939.66,63.36,0.518,55.99,2,15,5,Ignore
14118,58585,23275,Grocery,3149,Wishlist_Add,2024-07-30 17:49:11,Mobile,Search_Engine,East,35-44,Silver,515,144,431,35,70181.44,44.25,4.17,12219,Out_of_Stock,Same_Day,75,23,9,20,49,4,0.386,0.526,3296.02,43.14,0.021,99.85,0,20,11,View
14844,56348,23339,Beauty,3404,Product_View,2024-06-18 10:52:28,Desktop,Direct,South,35-44,Silver,1113,843,579,18,88203.41,24.09,1.91,12667,Out_of_Stock,Express,78,13,29,67,18,29,0.245,0.317,13807.26,4.2,0.532,96.44,27,13,14,Add_to_Cart
12905,56402,22008,Sports,3682,Search_Click,2024-04-18 16:15:02,Mobile,Direct,East,25-34,Regular,310,609,1113,51,54399.46,70.78,1.54,2672,In_Stock,Standard,30,22,5,18,5,14,0.171,0.21,14229.41,95.35,0.139,47.56,28,21,17,View
10475,56630,24558,Sports,3090,Product_View,2024-09-24 08:48:57,Mobile,Advertisement,North,35-44,Regular,2342,163,258,19,9762.28,10.04,2.0,9982,Out_of_Stock,Standard,75,23,10,56,37,16,0.119,0.118,56917.68,79.12,0.557,68.6,33,14,10,Add_to_Cart
11083,54542,22413,Fashion,3119,Product_View,2024-04-26 20:45:11,Desktop,Direct,East,18-24,Silver,5033,496,263,42,94185.65,72.33,2.84,8888,In_Stock,Standard,34,23,2,42,0,16,0.278,0.269,25626.98,39.41,0.532,10.19,13,21,1,View
12559,57877,22152,Sports,3696,Purchase,2024-12-07 07:40:22,Desktop,Direct,East,35-44,Gold,203,852,1513,32,63393.06,3.96,1.09,7835,In_Stock,Express,42,14,18,26,14,18,0.133,0.649,26750.36,44.9,0.087,33.07,25,22,10,View
12048,58534,23183,Grocery,3776,Search_Click,2024-12-02 15:18:13,Desktop,Direct,South,35-44,Regular,4626,855,445,14,87690.07,43.67,2.61,4413,In_Stock,Standard,65,9,7,52,23,26,0.919,0.893,46120.19,29.97,0.234,78.95,28,7,5,View
12748,58325,20428,Beauty,3739,Product_View,2024-08-13 08:41:51,Desktop,Direct,East,18-24,Silver,2680,17,1313,14,18041.39,59.55,1.37,4724,In_Stock,Express,45,8,22,69,20,17,0.789,0.712,37300.05,4.38,0.171,68.62,32,5,3,View
10976,50265,24565,Footwear,3093,Cart_Add,2024-11-20 01:53:51,Mobile,Social_Media,West,35-44,Regular,5257,797,257,25,91537.87,56.7,2.45,8742,Limited_Stock,Standard,31,0,6,39,11,20,0.999,0.315,21245.16,86.12,0.335,79.31,11,7,2,Ignore
11807,59878,21015,Home_Appliances,3629,Wishlist_Add,2024-06-02 15:06:47,Mobile,Direct,Central,25-34,Regular,3155,548,152,40,88203.46,52.42,4.43,5739,In_Stock,Express,57,19,4,38,3,5,0.664,0.165,45728.77,75.97,0.844,42.34,8,7,6,View
10190,51435,21605,Toys,3447,Product_View,2024-05-27 02:38:10,Mobile,Search_Engine,West,25-34,Regular,125,797,1596,45,6721.43,2.13,2.73,3985,Limited_Stock,Express,85,15,34,43,23,12,0.085,0.193,39393.62,56.17,0.57,68.77,10,30,8,Add_to_Cart
12735,55328,20870,Furniture,3312,Search_Click,2024-09-05 04:20:17,Desktop,Advertisement,South,18-24,Regular,1130,128,160,22,5487.96,23.78,3.58,14385,In_Stock,Express,36,18,20,34,34,9,0.386,0.847,44876.44,49.12,0.272,69.93,0,19,16,Add_to_Cart
13006,55098,22728,Footwear,3318,Search_Click,2024-05-11 10:20:42,Mobile,Email,East,55+,Gold,3869,462,247,7,15428.68,23.23,3.21,13510,Out_of_Stock,Same_Day,19,23,22,40,24,11,0.878,0.647,9977.61,95.08,0.514,81.59,14,4,0,Add_to_Cart
14659,51661,22853,Books,3121,Product_View,2024-01-10 10:18:53,Mobile,Direct,North,25-34,Regular,4512,51,1599,11,17946.19,5.16,1.45,3422,In_Stock,Express,74,0,32,43,47,18,0.725,0.312,57715.26,88.15,0.768,64.87,37,21,13,Add_to_Cart
11900,55693,20886,Books,3317,Purchase,2024-10-21 16:28:06,Mobile,Direct,East,25-34,Regular,4779,824,1167,52,28269.11,57.1,2.25,8077,In_Stock,Same_Day,35,7,5,17,25,25,0.777,0.234,46623.03,36.97,0.74,11.01,22,29,4,Ignore
11268,52355,22609,Sports,3138,Search_Click,2024-06-10 23:03:52,Mobile,Social_Media,East,45-54,Silver,2273,618,1701,37,74765.76,17.55,4.91,13955,In_Stock,Express,27,20,27,48,30,7,0.567,0.737,36566.69,45.25,0.937,79.2,0,2,10,Add_to_Cart
11529,58458,21274,Books,3743,Cart_Add,2024-05-27 23:52:58,Mobile,Direct,South,25-34,Silver,1985,574,609,49,11441.86,71.99,4.71,14957,In_Stock,Express,68,4,12,17,21,0,0.166,0.985,17723.96,50.89,0.155,91.94,1,10,2,View
13203,56462,24427,Grocery,3660,Search_Click,2024-08-07 13:50:23,Mobile,Email,East,35-44,Gold,3435,27,1359,19,6806.05,49.44,3.51,605,In_Stock,Express,1,2,11,16,5,4,0.591,0.201,38089.31,25.82,0.624,20.18,3,19,8,Ignore
13557,59329,21956,Fashion,3284,Wishlist_Add,2024-06-13 16:09:40,Mobile,Search_Engine,North,25-34,Regular,3856,422,279,4,52477.17,47.36,1.65,3482,Limited_Stock,Same_Day,31,16,6,9,17,2,0.619,0.019,24489.1,20.29,0.493,13.15,18,4,6,Ignore
13891,57045,20587,Footwear,3654,Product_View,2024-05-12 21:49:41,Mobile,Direct,North,18-24,Silver,2542,436,1011,10,52367.59,7.07,4.54,6559,In_Stock,Standard,2,11,14,45,18,26,0.012,0.079,27690.47,25.32,0.412,94.86,34,15,3,View
10647,55498,20201,Home_Appliances,3520,Search_Click,2024-09-22 19:01:52,Desktop,Advertisement,Central,25-34,Premium,1613,416,317,54,59134.25,15.42,3.13,12673,In_Stock,Standard,40,14,5,45,6,26,0.646,0.728,32659.24,56.76,0.604,47.62,28,17,10,View
12889,54550,24550,Electronics,3505,Wishlist_Add,2024-12-03 17:21:27,Mobile,Direct,Central,18-24,Gold,2449,831,1644,4,72296.77,25.1,2.62,13226,In_Stock,Express,29,11,14,8,27,3,0.989,0.318,17011.32,70.83,0.949,54.47,16,2,3,View
15394,56335,23618,Beauty,3391,Product_View,2024-05-11 14:19:37,Desktop,Direct,East,25-34,Silver,2902,881,1743,23,8713.77,20.58,2.14,1226,In_Stock,Standard,11,8,1,19,9,26,0.978,0.638,617.22,11.95,0.854,10.87,22,31,16,Ignore
12436,56011,20826,Fashion,3005,Wishlist_Add,2024-12-12 00:12:53,Mobile,Email,North,45-54,Silver,2675,396,238,30,55555.52,22.79,1.92,11483,In_Stock,Express,45,19,25,36,9,1,0.638,0.594,25749.5,19.64,0.557,96.48,38,30,17,Add_to_Cart
10601,54927,20111,Books,3769,Product_View,2024-01-23 03:34:48,Mobile,Search_Engine,East,35-44,Regular,2464,809,1799,54,45967.27,21.57,4.71,12292,In_Stock,Express,17,16,19,49,42,12,0.233,0.484,27251.37,84.35,0.075,86.54,36,10,7,Add_to_Cart
12364,59583,22912,Electronics,3367,Cart_Add,2024-03-11 22:31:39,Mobile,Advertisement,West,35-44,Silver,2500,545,1311,47,34774.26,53.03,2.68,3079,In_Stock,Standard,50,21,31,2,25,15,0.467,0.8,12924.16,78.78,0.823,74.36,12,6,14,Purchase
12062,59305,23900,Furniture,3492,Purchase,2024-06-25 19:09:18,Mobile,Direct,South,45-54,Silver,2986,406,247,38,9055.36,49.51,1.2,8724,In_Stock,Express,2,19,19,21,39,24,0.732,0.787,26093.4,85.21,0.188,93.25,13,1,9,Add_to_Cart
10242,60427,20908,Footwear,3758,Wishlist_Add,2024-10-28 03:05:56,Desktop,Direct,South,18-24,Premium,1397,617,1457,49,50434.35,0.55,4.41,9711,In_Stock,Same_Day,65,5,23,23,4,24,0.981,0.402,51353.67,91.11,0.629,49.53,12,15,12,View
12042,61059,25869,Books,3466,Product_View,2024-09-26 07:29:30,Mobile,Direct,North,35-44,Regular,1211,703,1527,12,3389.29,13.72,1.84,4676,In_Stock,Standard,15,10,4,66,49,5,0.641,0.275,11526.57,45.82,0.675,80.1,37,11,14,View
12825,56066,25664,Grocery,3235,Search_Click,2024-12-30 19:14:17,Desktop,Direct,West,35-44,Silver,3542,759,1105,6,92328.87,57.0,2.74,10203,In_Stock,Express,1,21,5,64,7,22,0.392,0.021,53176.63,7.92,0.57,42.74,19,18,16,View
12613,61261,25329,Books,3362,Wishlist_Add,2024-01-22 20:03:20,Mobile,Social_Media,North,25-34,Premium,4920,248,759,18,83957.26,41.41,3.36,4309,In_Stock,Same_Day,34,8,20,3,6,24,0.989,0.122,12069.11,53.4,0.079,50.63,37,0,11,Ignore
11364,52180,23716,Footwear,3522,Purchase,2024-04-30 10:40:56,Desktop,Social_Media,West,25-34,Regular,987,57,283,33,85182.8,24.01,3.62,8766,Out_of_Stock,Express,26,5,23,28,13,15,0.486,0.668,58475.62,1.59,0.78,92.86,27,26,2,View
15487,54968,23690,Toys,3242,Product_View,2024-09-12 13:11:18,Mobile,Search_Engine,North,18-24,Regular,4167,279,828,14,27911.65,64.5,4.94,8322,In_Stock,Standard,71,17,15,48,37,3,0.325,0.496,11589.68,21.86,0.333,98.18,15,19,0,View
11479,50635,20555,Sports,3442,Cart_Add,2024-09-20 01:32:27,Desktop,Direct,Central,35-44,Regular,3470,441,903,4,16477.11,37.44,1.89,7413,In_Stock,Express,1,3,31,39,4,13,0.047,0.064,46449.77,76.41,0.099,23.54,34,10,17,View
12557,53632,21904,Furniture,3188,Product_View,2024-07-21 15:21:12,Mobile,Social_Media,East,25-34,Regular,3997,599,806,13,9288.5,41.46,2.18,11810,In_Stock,Same_Day,42,21,24,10,35,23,0.223,0.764,32558.37,22.79,0.723,57.87,24,20,18,Add_to_Cart
10776,59592,20107,Furniture,3404,Cart_Add,2024-08-16 03:04:07,Desktop,Direct,South,25-34,Gold,3766,711,1464,16,42724.93,56.32,3.63,10266,In_Stock,Same_Day,24,12,32,18,26,10,0.711,0.366,7651.65,15.79,0.304,20.18,15,2,14,View
14015,60932,23337,Footwear,3427,Cart_Add,2024-02-09 08:12:19,Mobile,Email,South,25-34,Silver,4040,53,1644,52,4149.03,37.29,2.73,2208,Limited_Stock,Standard,47,13,16,29,36,12,0.673,0.348,45044.24,10.18,0.114,49.65,31,33,10,View
10035,61363,22535,Grocery,3413,Cart_Add,2024-07-02 21:19:46,Mobile,Email,West,25-34,Premium,2970,778,413,31,72257.59,11.01,2.57,8885,In_Stock,Standard,80,23,14,6,14,4,0.866,0.885,14579.63,83.59,0.067,65.57,5,6,1,View
13153,60058,22227,Books,3514,Wishlist_Add,2024-04-05 18:51:27,Desktop,Search_Engine,Central,25-34,Gold,4037,253,1678,23,47820.12,12.39,3.84,11809,In_Stock,Standard,88,21,3,12,6,9,0.55,0.763,16749.46,36.38,0.939,92.62,37,4,7,Add_to_Cart
11956,60148,23294,Electronics,3154,Search_Click,2024-10-22 03:29:36,Mobile,Direct,West,35-44,Gold,2249,351,1704,21,67264.74,61.76,2.72,1900,In_Stock,Standard,83,19,15,65,30,25,0.895,0.235,44831.5,84.48,0.788,74.45,13,23,14,Add_to_Cart
11586,54678,21394,Grocery,3203,Cart_Add,2024-12-14 13:37:56,Mobile,Social_Media,Central,25-34,Regular,5079,140,944,26,67506.31,59.16,2.94,5698,In_Stock,Express,2,9,29,62,15,16,0.842,0.504,5769.19,15.55,0.735,82.91,22,12,2,View
13944,52219,22685,Home_Appliances,3217,Search_Click,2024-05-11 12:19:37,Desktop,Advertisement,West,18-24,Regular,3914,782,642,42,48638.89,1.34,1.32,14076,In_Stock,Standard,32,19,13,19,45,28,0.248,0.374,12467.27,10.14,0.482,7.53,17,24,9,View
13074,51390,22836,Grocery,3482,Product_View,2024-05-31 01:10:02,Mobile,Search_Engine,North,45-54,Silver,4619,425,177,35,70374.82,41.88,2.99,2249,In_Stock,Standard,38,3,6,29,4,3,0.063,0.753,16011.6,82.7,0.21,66.83,30,30,11,View
11022,61323,20167,Toys,3315,Purchase,2024-12-24 21:40:01,Mobile,Search_Engine,North,25-34,Silver,1042,653,1657,52,89408.86,30.58,3.82,6012,In_Stock,Express,22,23,16,64,3,16,0.17,0.005,53663.93,80.18,0.762,75.57,5,32,11,Add_to_Cart
13462,54277,22711,Home_Appliances,3617,Product_View,2024-11-10 09:28:45,Desktop,Advertisement,South,45-54,Regular,5052,471,362,42,883.26,8.21,1.36,10931,In_Stock,Express,72,17,2,33,13,28,0.409,0.864,20503.71,19.33,0.608,85.34,30,16,6,Add_to_Cart
12614,51250,23625,Grocery,3001,Wishlist_Add,2024-11-19 11:13:12,Desktop,Search_Engine,West,35-44,Regular,2239,821,1453,17,22852.5,37.08,1.16,6670,In_Stock,Express,65,13,29,66,36,9,0.026,0.467,14160.45,80.76,0.608,5.55,35,15,14,Add_to_Cart
15226,57641,22348,Toys,3766,Product_View,2024-08-10 05:43:44,Mobile,Direct,West,25-34,Silver,3357,895,294,29,85868.6,70.52,3.9,4376,In_Stock,Standard,17,21,26,68,38,14,0.18,0.931,5630.0,58.94,0.255,15.24,19,15,17,Add_to_Cart
13844,61359,21405,Toys,3503,Product_View,2024-07-17 00:54:59,Desktop,Search_Engine,North,25-34,Gold,4203,65,1217,54,66623.38,35.54,1.42,10432,In_Stock,Express,50,4,5,48,21,17,0.867,0.19,578.38,36.26,0.088,80.44,15,30,4,Ignore
11501,55713,21526,Toys,3799,Search_Click,2024-07-27 16:31:01,Mobile,Search_Engine,West,55+,Silver,1111,871,257,47,53984.93,45.89,2.18,11366,In_Stock,Standard,89,2,15,1,3,4,0.397,0.597,20615.29,81.98,0.111,82.87,37,13,0,View
14799,51246,24410,Fashion,3278,Search_Click,2024-07-08 12:46:22,Desktop,Search_Engine,South,55+,Silver,1965,514,219,38,51912.64,68.67,3.61,2781,Limited_Stock,Same_Day,79,20,26,3,4,28,0.623,0.266,30702.83,6.17,0.094,90.59,29,34,6,View
15676,58246,24912,Beauty,3194,Product_View,2024-02-07 22:09:27,Mobile,Search_Engine,South,25-34,Regular,4728,611,1232,37,38174.45,16.07,4.4,5778,Limited_Stock,Standard,37,18,5,33,35,21,0.577,0.079,19481.68,13.68,0.892,13.04,14,8,18,View
10162,61103,24839,Footwear,3769,Product_View,2024-04-03 03:13:09,Mobile,Advertisement,West,35-44,Gold,1920,881,4,50,56882.92,32.73,2.49,8896,In_Stock,Same_Day,1,2,33,1,15,1,0.418,0.434,22763.16,8.49,0.107,18.3,20,4,19,Ignore
14298,60589,22775,Furniture,3762,Product_View,2024-02-06 10:51:16,Mobile,Direct,South,25-34,Regular,2302,84,633,37,59713.63,18.07,3.88,14264,In_Stock,Express,53,7,12,33,9,8,0.341,0.489,18716.27,55.41,0.481,89.29,3,7,9,View
11982,50443,20826,Fashion,3248,Cart_Add,2024-12-03 22:52:02,Desktop,Email,South,35-44,Gold,2639,578,514,55,34791.28,74.42,3.44,7550,In_Stock,Standard,64,7,21,22,17,11,0.233,0.968,57888.99,92.79,0.508,44.35,21,0,1,Add_to_Cart
10996,56977,21125,Beauty,3088,Product_View,2024-10-22 13:41:44,Mobile,Advertisement,West,35-44,Premium,814,728,249,37,36356.65,1.63,3.39,14466,Out_of_Stock,Standard,21,1,13,15,26,7,0.108,0.916,7226.02,75.01,0.695,70.08,4,25,11,View
14912,54676,20569,Footwear,3434,Purchase,2024-09-06 14:05:51,Desktop,Direct,West,55+,Regular,5276,550,135,29,21870.14,63.74,1.51,7424,In_Stock,Standard,80,15,13,40,29,2,0.597,0.88,14609.53,94.37,0.9,44.34,17,27,16,Add_to_Cart
13343,61804,25335,Furniture,3420,Product_View,2024-02-29 00:55:50,Mobile,Direct,North,25-34,Regular,2315,187,364,31,54622.73,30.54,2.27,2592,In_Stock,Same_Day,28,0,29,1,4,19,0.373,0.63,48816.39,11.85,0.9,56.37,12,21,7,View
14552,57954,21959,Home_Appliances,3253,Purchase,2024-04-24 23:35:17,Desktop,Search_Engine,North,35-44,Regular,4796,52,303,5,48396.0,73.47,1.12,9544,Limited_Stock,Standard,60,12,0,14,20,18,0.589,0.047,54869.16,23.78,0.02,6.4,18,33,18,Ignore
13799,54378,23740,Books,3429,Wishlist_Add,2024-07-14 04:50:45,Desktop,Search_Engine,Central,25-34,Regular,2155,617,658,27,43834.91,35.06,3.29,8904,Limited_Stock,Express,21,5,3,9,11,12,0.901,0.238,2209.76,95.01,0.514,98.64,9,8,15,Ignore
11276,60600,22110,Fashion,3164,Product_View,2024-09-18 18:01:08,Desktop,Advertisement,West,18-24,Regular,4180,652,999,36,58136.09,47.67,3.04,4565,In_Stock,Standard,36,9,22,45,45,7,0.261,0.471,35556.27,2.94,0.246,38.54,30,28,13,View
11017,57059,24465,Furniture,3495,Product_View,2024-07-06 23:31:53,Desktop,Search_Engine,Central,25-34,Silver,360,777,847,17,61759.6,42.68,3.66,11413,Limited_Stock,Standard,68,12,16,48,4,16,0.533,0.347,17306.78,94.04,0.626,20.85,29,30,1,View
10338,50823,25488,Furniture,3162,Cart_Add,2024-07-31 10:03:31,Mobile,Direct,West,35-44,Silver,5182,122,1353,9,38116.61,8.02,1.45,3152,Limited_Stock,Standard,40,3,1,59,33,21,0.071,0.635,10734.7,61.86,0.282,8.88,12,30,0,View
10879,61895,24190,Electronics,3507,Purchase,2024-06-30 13:15:32,Mobile,Direct,Central,45-54,Gold,1320,203,1618,12,75693.12,71.19,4.63,7082,In_Stock,Express,9,18,30,41,15,14,0.573,0.803,44202.79,46.99,0.026,94.78,25,9,12,Add_to_Cart
11077,52940,25555,Home_Appliances,3265,Purchase,2024-02-08 01:12:59,Desktop,Search_Engine,East,18-24,Regular,2111,197,226,48,7481.8,46.98,4.45,6798,In_Stock,Express,31,2,13,29,16,2,0.677,0.38,56206.46,19.89,0.59,85.65,17,32,15,Ignore
14888,57097,24095,Fashion,3110,Search_Click,2024-03-06 10:18:18,Desktop,Direct,West,18-24,Silver,5037,404,1626,15,38095.83,21.4,3.7,6392,In_Stock,Express,84,20,4,6,19,13,0.159,0.775,24712.66,57.14,0.783,37.08,22,3,14,Add_to_Cart
13994,55766,22931,Toys,3719,Product_View,2024-07-04 04:12:59,Mobile,Direct,South,25-34,Regular,4357,798,105,23,56805.0,24.87,1.88,4591,In_Stock,Standard,28,1,4,69,34,2,0.348,0.532,13134.52,72.69,0.62,77.94,35,1,18,View
14860,51032,20764,Toys,3319,Product_View,2024-02-06 22:54:55,Mobile,Direct,Central,25-34,Silver,5310,205,1509,34,14296.76,2.4,3.5,13939,Out_of_Stock,Same_Day,36,6,10,61,35,27,0.391,0.136,46910.19,92.12,0.301,83.94,25,20,11,View
10380,60209,25530,Beauty,3132,Product_View,2024-06-10 17:40:09,Desktop,Direct,East,45-54,Gold,4062,801,715,21,21627.1,16.4,4.74,8320,In_Stock,Express,40,23,21,56,26,0,0.534,0.307,29675.11,50.15,0.934,7.96,23,14,0,Add_to_Cart
10493,50563,23361,Furniture,3133,Product_View,2024-06-17 23:13:00,Desktop,Direct,East,18-24,Silver,1773,159,570,9,59046.7,31.96,2.77,9468,In_Stock,Standard,50,16,29,5,12,0,0.22,0.735,27944.55,24.21,0.723,50.43,31,6,8,Add_to_Cart
15277,60731,23451,Home_Appliances,3394,Search_Click,2024-01-15 00:42:39,Mobile,Advertisement,North,45-54,Regular,1339,46,62,2,51133.56,19.51,2.23,2638,In_Stock,Standard,21,11,28,48,39,13,0.141,0.927,20248.95,28.05,0.383,32.83,30,18,16,Add_to_Cart
